SDSS_NAME,M_u,M_g,M_r,M_i,M_z,M_FUV,M_NUV,M_2j,M_2h,M_2k,M_W1,M_W2,community
093844.45+005715.7,-20.401840063495477,-21.836307487809854,-22.89862832288976,-23.63531468613177,-23.61052307792461,-17.939638001610884,-18.37784589655157,-24.261840602710617,-24.94806097986396,-25.771062128270074,-26.551236471956106,-27.053726053493723,4
094204.02+154257.2,-22.34073643556803,-22.9989028862082,-23.581905661143352,-23.83142139039688,-24.04600733528573,-20.356971427656703,-21.10752038410481,-24.09307608257351,-25.15094789158785,-25.372082236369717,-26.04688899066145,-26.951358734145327,4
094506.65+321635.5,-21.26715882546041,-21.721784461248856,-22.22844859426525,-22.54145446793233,-22.566397151837,-20.232722874604956,-20.85040516617244,-22.83024775225447,-23.36540133369664,-23.85979025328897,-24.50253309179381,-25.01413767787095,4
094620.86+334746.9,-21.169347251876367,-21.96618278918923,-22.764876988334223,-23.2121272645898,-23.153950543581075,-18.13069392276338,-19.248169123111108,-23.720577380087565,-24.14076452232253,-24.6955330004414,-25.71625744499217,-26.12221938915175,4
094636.42+205610.9,-21.766782630528727,-22.50839852058848,-23.040210242198388,-23.231204491975777,-23.428520293349088,-21.335540350942946,-21.78441986855748,-23.72248974027624,-24.25365415509663,-24.934731680228325,-25.85966006811102,-26.6350246674897,4
094704.51+472142.9,-22.709310488700083,-23.239896452773603,-23.875840053786572,-24.05014833474205,-24.217121880045195,-15.498592652796663,-16.687569061254845,-24.25663611765861,-24.694358163618386,-25.358436735918364,-26.228581041255715,-27.15927754697079,4
094927.67+314109.9,-22.46910802760917,-23.487697665683203,-24.117740728796804,-24.2925771361893,-24.23993804652296,-17.61879534844162,-19.886198031184676,-24.356968268780168,-24.800530786277868,-25.561335413560645,-26.347417004779253,-27.001915929994308,4
095407.02+212235.9,-21.36014551361981,-22.033984949835197,-22.801819461961628,-23.205357486101608,-23.61468289060037,-20.11481779551041,-20.21874840721945,-23.77428980790547,-23.99985441922748,-24.46809415470585,-25.35386955590405,-26.01380437666607,4
100331.14+210350.8,-22.1428573223188,-22.814117307557044,-23.4101693923455,-23.71559950674099,-24.11863153753616,-20.39116093928689,-20.67482508320575,-24.309044950117222,-24.976203212623727,-25.64514386784562,-26.414698808150487,-27.263812124195045,4
100458.31+202449.2,-23.22170191935733,-23.90037932638207,-24.563458460041463,-24.893387111013293,-25.211932256869705,-20.692664669862577,-21.92289267103048,-25.527037610468724,-25.59903977185442,-25.888938314713872,-26.279867935341017,-27.072991704906563,4
100522.94+405834.6,-21.874446453079997,-22.568767644942746,-23.17485022533961,-23.36959912848748,-23.684569087444963,-19.364174351694096,-20.19321632007346,-23.94988688115445,-24.41162558304769,-25.219548267439187,-25.68689677142098,-26.35751288455688,4
100829.62+493416.7,-21.371947306611997,-21.840924963237004,-22.57753303825168,-22.82567100960333,-23.23137812028636,-21.57467039898354,-21.9942291899335,-23.666639664078662,-23.44125162885396,-23.861153682148576,-24.72900623121118,-25.56534376427725,4
101023.99+453545.9,-21.081467437884108,-21.56052132253069,-22.33533972677112,-22.67472248884203,-22.690283907763504,-19.7256085127541,-20.638831821562988,-22.838787991761883,-23.28646297145555,-23.94994152845604,-23.81003724968713,-24.13884519026653,4
