,SDSS_NAME,Z,M_u,M_g,M_r,M_i,M_z,M_FUV,M_NUV,M_2j,M_2h,M_2k,M_W1,M_W2,community,local_clustering
1240,142442.32+101322.5,0.637533,-23.360646923039,-23.58950450888072,-23.885623546279326,-23.947926887300994,-24.08000615307982,-23.24559695279944,-23.2490351627846,-24.506762060743984,-24.560545784978896,-24.83507788425881,-25.425286808400728,-26.16398839137021,3,1.0
1324,143053.07+303701.7,0.485045,-22.495210685361776,-22.73443269725351,-23.135230159488422,-23.19556607012571,-23.329238350966666,-22.50304258294037,-22.409976565475223,-23.491332341235537,-23.985838153867995,-24.630722423735875,-24.77163629525176,-25.6021878051046,3,1.0
587,133647.14-004857.1,2.808,-25.762098745586083,-25.75368905138683,-26.032269883130063,-26.1647831261868,-26.447438118003664,-18.763934170676293,-21.682965210428844,-26.793961151430132,-27.511145874817824,-27.72468682910946,-27.55567725482831,-28.03605684599841,4,1.0
782,135127.59+210209.3,0.8194,-23.863381206942336,-24.03946405376568,-24.278722130414547,-24.34118198151525,-24.41658453833627,-19.1098784380692,-17.53580691998459,-24.780067539693185,-25.02257209949703,-25.049660985050743,-25.289888392709678,-26.187561990417464,4,1.0
830,135530.35+250853.3,2.57,-24.503564106539766,-24.8774757310198,-25.545644899721857,-25.84945178061133,-26.20254145235521,-19.00756561015946,-17.832219085891683,-26.763023273944224,-27.011066069183173,-27.475221030843084,-27.140656051464184,-27.30875674198812,4,1.0
1664,145610.77+120145.0,1.181704,-25.378530954262896,-25.57516447134258,-25.82646888918136,-26.019667244383808,-26.298167495101907,-19.16494601203522,-18.837034753703477,-26.390775758465463,-26.70335495515633,-26.74058839115127,-27.47639514249673,-28.41816365943413,4,1.0
2407,155854.35+132731.0,0.9561,-24.00238977325512,-24.290300373887973,-24.49598195591453,-24.543334468998207,-24.74597183382701,-19.26095564898593,-17.999477751484857,-25.200843261802515,-23.744093859672777,-25.03900250500186,-25.793565748896828,-26.53175947147632,4,1.0
2574,161438.08+203031.7,2.053377,-24.080376356330287,-24.26997643503063,-24.660574825491395,-24.93930734243236,-25.209688375175485,-18.50054695160671,-17.601041379130642,-25.75083383056147,-26.33512210494878,-26.347535666889787,-26.530662303645467,-27.20455735388917,4,1.0
2596,161556.87+170751.4,2.728,-24.871635897655278,-24.911934208040776,-25.289321557859047,-25.432609923962342,-25.70210003899715,-20.752609899489432,-20.233178845636623,-26.033241680926125,-26.4084175302114,-26.955825621131204,-26.93164959976509,-27.509198849624056,4,1.0
3242,215207.53+040921.7,0.917,-22.203218630916552,-22.6195986415171,-23.116096576174925,-23.36088604182727,-23.542836507318235,-20.295925970896203,-18.238046826932937,-24.822876312165704,-25.472945445942194,-25.435051187474677,-24.988587505511465,-25.904433588423,4,1.0
