SDSS_NAME,Z,M_u,M_g,M_r,M_i,M_z,M_FUV,M_NUV,M_2j,M_2h,M_2k,M_W1,M_W2
130100.86+281944.7,1.361,-25.197698684963797,-25.386099629189488,-25.727266831505517,-25.90295119317553,-26.18118462865841,-24.586564993043503,-25.529737713004128,-26.411779996324345,-26.63123108847696,-26.678700073256273,-27.603894594381032,-28.542346818455094
130101.94+130227.1,0.417491,-23.469554422074566,-23.743113151658584,-24.15911243763194,-24.174056852421916,-24.340751607465066,-23.4649938980738,-23.685357311922072,-24.50026663234743,-24.99635209579617,-25.55570906999539,-26.381074279744464,-27.09790029280402
130111.46+340629.7,0.773,-23.900448304195496,-24.227250016458942,-24.65350990891641,-24.99986641431126,-25.205948884266746,-23.18069095631757,-23.70091239234243,-25.545664303362766,-25.79087802699011,-26.059915700794505,-26.39174425194913,-27.30367615621583
130112.91+590206.6,0.477549,-25.426581234256346,-25.48923748745054,-25.82861063597445,-25.837261972526168,-25.947341565328184,-25.34299672455458,-25.264908764316722,-25.768319114578908,-26.219483731887266,-26.767115221051018,-27.473398450298276,-28.322498209888963
130114.47+155616.3,0.671159,-23.59331175195256,-23.858522296475197,-24.20714669600128,-24.240790207011322,-24.377272357539088,-23.379825387854215,-23.442844978786596,-24.642610096143063,-24.559297098921554,-24.901601121343095,-25.644188552248615,-26.58448601674587
130118.47+012136.7,1.983554,-25.266164127884842,-25.286190841631544,-25.604837010878022,-25.804800968050476,-26.08078501985875,-18.124289768266205,-23.977576767044287,-26.51016064881073,-26.365248679330648,-27.016318044858647,-27.1456753214995,-27.690827652377607
130124.73+475909.5,2.19,-24.586480881059273,-24.648172126988758,-25.086996981596783,-25.160085477432514,-25.416229375197062,-19.33207328843749,-20.732628154289515,-26.404438110498962,-26.492178808732383,-26.63580783772325,-26.487768671525266,-27.25953987159264
130136.12+000157.9,1.79,-24.732304397521045,-25.296989392452403,-25.620735373328227,-25.676647241418213,-25.88470998046588,-17.859339024223498,-17.013042409417565,-25.998617970314196,-26.40659545262834,-26.598547313390487,-26.918144311333272,-27.96783469950345
130153.78-011411.0,1.718,-24.791780635997338,-24.972478626089032,-25.266288848476442,-25.384453722170687,-25.6647048315157,-22.485159684038507,-24.274940429320754,-26.008025620038634,-26.36651344019538,-26.869322348583605,-26.874363947148908,-27.876601369389128
130157.31+214825.0,2.233,-25.14993122861409,-25.241255112412222,-25.713458624330993,-25.89688744853871,-26.089629752722782,-18.488015720640522,-22.61507805951937,-26.44787494043597,-26.854540358694734,-26.746165184509678,-27.061362732471657,-27.92082920972622
