Z,PSFMAG_u,PSFMAG_g,PSFMAG_r,PSFMAG_i,EXTINCTION_u,EXTINCTION_g,EXTINCTION_r,EXTINCTION_i,SN_MEDIAN_ALL,DM,K_u,K_g,K_r,K_i,M_u,M_g,M_r,M_i,u_g,g_r,r_i,comm
0.1885230243206024,18.44989776611328,18.12112808227539,17.79425811767578,17.4802303314209,0.2224138081073761,0.173303335905075,0.1198904439806938,0.0890914499759674,32.69741439819336,39.88373626126785,-0.1916047961617639,-0.0370608604005906,0.1334019184112018,-0.042371915029344,-21.46464750710018,-21.898850654496943,-22.342770505983964,-22.45022546479357,0.4342031473967616,0.4439198514870206,0.1074549588096083,8
0.891,17.897798538208008,17.606992721557617,17.445402145385742,17.389293670654297,0.3030813634395599,0.2361589521169662,0.163373664021492,0.1214041411876678,46.8125228881836,43.85132539062452,-0.3364656017233624,-0.4037756710510466,-0.1715356666694902,0.0161199560492124,-25.920142614132708,-26.07671595013282,-26.39776124259077,-26.5995558172071,0.1565733360001111,0.3210452924579563,0.2017945746163256,3
0.3157904148101806,17.637737274169922,17.342243194580078,17.049345016479492,17.11095428466797,0.1380161494016647,0.1075412407517433,0.0743965357542038,0.055284596979618,34.93446731567383,41.15250952819736,-0.2697075670271895,-0.1449461143724754,0.0335353526295907,0.2440357957590761,-23.38308083640191,-23.772861459996545,-24.21109640010166,-24.34087563626808,0.3897806235946355,0.4382349401051151,0.1297792361664207,6
0.074,20.659048080444336,19.01697158813477,18.205062866210938,17.747560501098633,0.4569918215274811,0.356084942817688,0.2463379055261612,0.1830554604530334,29.923608779907227,37.69528297686821,-0.0778080797736187,-0.0149600025124144,0.2868106265488294,-0.1624430173590485,-17.41541863817774,-19.01943632903872,-20.023368642732265,-19.968334918863565,1.6040176908609816,1.003932313693543,-0.0550337238686999,20
0.3002041280269623,17.950777053833008,17.65435791015625,17.066301345825195,17.452342987060547,0.0836860761046409,0.0652076229453086,0.0451103337109088,0.0335218124091625,38.56947708129883,41.02571589170843,-0.2653740781259079,-0.130165398489383,0.0413265908731483,0.2486539331898546,-22.893250835854158,-23.306400206008107,-24.04585147046729,-23.8555486502469,0.4131493701539526,0.7394512644591842,-0.190302820220392,6
0.3399613201618194,17.792882919311523,17.80185317993164,17.771503448486328,17.82215690612793,0.3254154920578003,0.2535615265369415,0.1754126995801925,0.1303504407405853,36.646705627441406,41.33817895610692,-0.2692055488448883,-0.1679207767647441,0.0385696044408435,0.2316700714979129,-23.601505980008305,-23.62196652594747,-23.780657811641625,-23.878042562217484,0.0204605459391657,0.1586912856941538,0.0973847505758591,1
0.7381548881530762,17.369712829589844,17.049238204956055,16.986438751220703,17.025390625,0.1620396673679351,0.1262602061033249,0.0873462259769439,0.0649076104164123,39.74800109863281,43.35034279895653,-0.2605370412312676,-0.3981566407738151,-0.0851927237905709,0.0737216349952597,-25.88213259550336,-26.029208159329983,-26.366057549922203,-26.463581419368204,0.147075563826629,0.3368493905922172,0.0975238694460003,22
0.9556666016578674,18.715412139892575,18.402238845825195,18.1745662689209,18.252086639404297,0.5122922658920288,0.3991746604442596,0.276147186756134,0.2052069455385208,37.38859176635742,44.03849338115312,-0.3586678504768275,-0.3789035235437455,-0.2091376188765864,-0.0202412533479213,-25.476705656675747,-25.656525672228444,-25.93093668011177,-25.971372433939425,0.1798200155526963,0.2744110078833301,0.0404357538276514,2
0.68,18.828289031982425,18.415773391723636,18.53260803222656,18.514938354492188,0.1538418680429458,0.1198725402355194,0.0829272717237472,0.0616238489747047,26.79520606994629,43.132970147297584,-0.2260959583354857,-0.3805848512529297,-0.0358737720922078,0.0539894412000934,-24.232427025022623,-24.45648444455654,-24.64741561470256,-24.7336450829802,0.2240574195339171,0.190931170146019,0.0862294682776365,1
0.379856139421463,18.92972946166992,18.346677780151367,18.02476119995117,17.9108943939209,0.1562886983156204,0.1217790991067886,0.0842462107539177,0.0626039654016494,27.81562805175781,41.61955677643534,-0.2494228370740129,-0.2045624549944634,0.0926478158058661,0.1805349492202154,-22.596693176007022,-23.190095640396297,-23.77168960304395,-23.951801297136303,0.5934024643892748,0.5815939626476521,0.180111694092357,19
0.6811683773994446,17.543960571289062,17.14179229736328,16.998903274536133,16.976852416992188,0.3202195167541504,0.2495128661394119,0.1726118475198745,0.1282691061496734,42.32720947265625,43.13750955455109,-0.2266582951101046,-0.3809031957541637,-0.0369316868908064,0.0552367620025952,-25.68711020490607,-25.864326927573053,-26.274286440644023,-26.34416300571117,0.1772167226669836,0.4099595130709694,0.0698765650671475,11
0.2632,17.621644973754883,17.50086212158203,17.381513595581055,17.413497924804688,0.169213131070137,0.1318497210741043,0.0912130326032638,0.0677810534834861,44.10752487182617,40.69857443825474,-0.2451541070415835,-0.0938013774304479,0.0662323334262466,0.2038382639653713,-23.00098848852841,-23.23576066031636,-23.474506208703197,-23.556695830898907,0.2347721717879523,0.2387455483868308,0.0821896221957132,0
