SDSS_NAME,Z,M_u,M_g,M_r,M_i,M_z,M_FUV,M_NUV,M_2j,M_2h,M_2k,M_W1,M_W2,community
002341.00+070554.2,0.212519,-21.35200876779842,-21.487202494721966,-21.83510815471482,-22.049758099409512,-22.01503569544189,-21.309983933872573,-21.39962866848334,-22.54128497367972,-22.69765281685435,-23.1680448604478,-23.82580132434256,-24.2545126139741,3
002453.19+065648.4,0.313473,-23.46939412523212,-23.805877279094872,-24.130552864179915,-24.31444278858518,-24.338827020953097,-21.908236657331862,-22.698122813694344,-24.1427251748822,-24.64976913204996,-25.246484304717708,-26.05595520174012,-26.63431209142069,3
004046.16+185424.3,0.15536,-21.512781989994807,-21.54923375737813,-21.86777175004808,-22.19682795786653,-22.01078016353565,-20.85978760274179,-21.303713640989365,-22.36771575978251,-22.75277450767094,-23.410149648998303,-23.896910096267767,-24.39865421319225,3
004117.06+294151.4,0.200317,-20.632294265999462,-20.82230950289708,-21.211956068115786,-21.442512167856066,-21.475342917640184,-20.19143612512544,-20.276183100395507,-21.37031531289291,-22.143446891297867,-22.74610085383705,-22.95715546524536,-23.50588380517693,3
004151.99+181617.3,0.144,-21.172328561834195,-21.349583034782253,-21.7083932969622,-21.975334891300783,-21.856122984720407,-20.612554553356706,-20.604154392854632,-22.34264152390376,-22.567945753897074,-23.104024600681445,-23.383732457936475,-23.819861873353425,3
004222.18-055823.4,0.201701,-21.41589393370392,-21.805279167654525,-22.25650832464953,-22.35573355061525,-22.42091680168049,-20.096043613421976,-20.37577050269981,-22.51965235529705,-22.82107472556452,-23.252507907327352,-23.617501148540757,-23.900216613188856,3
004424.97+121318.3,0.369134,-21.375216393549444,-21.818207862046798,-22.35513150983984,-22.56201360764953,-22.719052816913248,-20.0231944975774,-20.977535523897824,-23.396580179804573,-23.90503452180809,-23.830421451607783,-24.22361695337536,-24.782359102515755,3
004517.40+072355.4,0.266302,-21.354629500234008,-21.682107090419507,-22.016883843468943,-22.16162965832784,-22.10051894639446,-21.05428397413472,-21.20755220471473,-22.4272513651536,-22.46092142629957,-23.175994461863144,-23.130759063544957,-23.52726533308213,3
004519.30+212739.9,2.07,-25.6090605364464,-26.011857232230224,-26.57721024475158,-26.75314580106804,-26.995762706302894,-24.470419640140957,-25.17902553819529,-27.67856868659647,-28.179344610196047,-28.34803548299081,-28.811550895517712,-29.18423522274497,3
004607.97+090720.9,0.237722,-23.305349623151827,-23.443858303631245,-23.6536183015386,-23.803344041332213,-23.747114825962207,-22.14053896168294,-22.417210964954663,-23.526574449777566,-24.099919497679693,-24.605187109116702,-25.735484114897133,-26.263061032642515,3
005028.90+251847.6,0.274433,-21.483671844092083,-21.908767847210477,-22.178380684151744,-22.416472292638893,-22.46213242183764,-19.30999257036003,-19.555251361882707,-22.61423838551693,-22.767243174226863,-23.46983624481721,-23.36324175762988,-23.847510990014023,3
005034.75+331448.1,0.181452,-21.72471239819956,-21.873357201236608,-22.151654993071254,-22.373302813614888,-22.286947053185063,-21.399323139568157,-21.6019741447362,-22.499132890831383,-22.992293553477573,-23.37148054511601,-23.72374360161595,-24.110168155075364,3
005036.13+040924.2,0.24568,-22.193185056427374,-22.458986002604465,-22.730761779639,-22.97010618664532,-23.029261564017485,-21.26151439568252,-21.602813190463067,-23.335243077597248,-23.784392529862803,-24.233932266452992,-24.64890742032526,-25.154134570917964,3
005224.31+062457.2,0.293198,-21.86348534307632,-22.152706836685763,-22.42942189734838,-22.59092890931888,-22.559099774428727,-21.141866195008955,-21.57467233475909,-22.736708038916746,-23.2072749159854,-23.09705621591329,-23.51302974374248,-23.988738338847057,3
005328.81-085755.1,0.259037,-21.91789574700618,-22.27377280846622,-22.64165811765693,-22.83499218791893,-22.93456937327927,-21.768063657175706,-22.00653132278728,-23.22581786226593,-23.41907454385856,-23.84080323357692,-24.040840679195085,-24.572853969828483,3
005350.78+352948.8,0.191223,-21.39817887258112,-21.6734085993572,-22.102160130823616,-22.196277029138468,-22.13627418034343,-20.106238995101016,-20.94508855016089,-22.165034098745007,-22.71029360070967,-23.36093391653489,-23.72705082999812,-24.31401581502839,3
005709.94+144610.1,0.171875,-23.49957252994277,-23.637338576480424,-23.87036549740883,-24.060490582908013,-23.997869546098244,-22.226841524317805,-22.65887589869889,-24.34646686396846,-24.85160265858186,-25.444476447170377,-26.14208222779797,-26.594339150345675,3
005921.07+213942.5,0.18505,-20.887804988045332,-21.202522291380355,-21.63343707082407,-21.674483383590704,-21.88486857907907,-20.41342413273504,-20.78094405435009,-21.869316355249328,-22.327178541805758,-22.654346558414943,-22.747396790254346,-23.11683660690636,3
010000.47+191153.2,0.299382,-22.734986483480508,-23.036682921119503,-23.40298843452972,-23.551763052609974,-23.57816802024722,-22.301133686494367,-22.54285124379497,-23.466744741427576,-23.846491779148355,-24.66227321632056,-25.168571527252823,-25.791584429704915,3
010226.31-003904.5,0.294,-24.03602447825669,-24.22411779748188,-24.408272914414702,-24.447372467509403,-24.4806361908964,-23.435689383467302,-23.462180074436507,-24.504555300933653,-24.83750666644493,-25.375028602212485,-26.11551817450507,-26.78738958845108,3
