SDSS_NAME,M_u,M_g,M_r,M_i,M_z,M_FUV,M_NUV,M_2j,M_2h,M_2k,M_W1,M_W2,community,u_g,g_r,r_i,i_z,FUV_NUV,j_h,h_k,W1_W2,opt_mir
131211.13+480925.2,-24.35529480451893,-24.58661807511687,-24.889072087229728,-24.88993669689101,-25.0826950537932,-23.61766568653116,-24.164582704169955,-25.1431836107577,-24.99774987894445,-25.076782535493184,-25.868448412607297,-26.73171803140469,2,0.23132327059794022,0.3024540121128574,0.0008646096612814347,0.19275835690218912,0.5469170176387941,-0.1454337318132488,0.07903265654873337,0.8632696187973927,0.9785117157162873
131255.20+421632.1,-24.859396186612024,-25.32164816636633,-25.624070525515805,-25.6933482053369,-25.93796843805009,-22.461892175157065,-24.40107818767491,-26.179802055607173,-25.907998753282467,-26.044630067245336,-27.09830399317193,-28.026642758561582,2,0.4622519797543063,0.3024223591494746,0.069277679821095,0.24462023271318856,1.939186012517844,-0.27180330232470595,0.13663131396286943,0.928338765389654,1.4049557878350285
131413.39+434416.4,-23.70028774423735,-23.922014885989263,-24.33743984558248,-24.50928112401784,-24.69929103145037,-24.014110463095125,-23.763134246669743,-24.69872450698,-24.87668779086988,-25.22159564316868,-26.09215249886632,-26.90160937930672,2,0.22172714175191288,0.4154249595932171,0.1718412784353589,0.19000990743253254,-0.25097621642538215,0.17796328388988059,0.3449078522987996,0.8094568804404005,1.5828713748484802
131430.78+130745.5,-24.986059756384137,-25.105224268100308,-25.410543012225435,-25.538215868635334,-25.57762583432364,-24.952955658982653,-25.11936698607433,-25.89396047371031,-25.939211570018195,-26.36630962890616,-26.836565826317987,-27.74293176887385,2,0.11916451171617126,0.3053187441251275,0.12767285640989812,0.039409965688307125,0.1664113270916765,0.04525109630788293,0.4270980588879638,0.9063659425558619,1.2983499576826532
131446.07+110223.0,-24.024335448129055,-24.14850766385994,-24.490672972758723,-24.645575584639246,-24.909701020798785,-23.158544376757785,-23.846064022700546,-25.22185533291305,-25.231850396502505,-25.617191044097268,-26.261882769444775,-27.11582462897714,2,0.1241722157308871,0.3421653088987817,0.154902611880523,0.26412543615953865,0.6875196459427606,0.009995063589453679,0.38534064759476294,0.853941859532366,1.6163071848055282
131448.06+381255.4,-23.83367848154388,-24.126611578930927,-24.42741764790853,-24.51005762134544,-24.65522998140584,-23.09963132950877,-24.10385415457621,-25.10371939404845,-25.178439405605232,-25.405100681916597,-26.062877858928463,-27.013403285728877,2,0.29293309738704565,0.30080606897760376,0.08263997343690832,0.1451723600603998,1.0042228250674405,0.07472001155678143,0.2266612763113649,0.9505254268004144,1.552820237583024
131513.95+155854.9,-23.05152504616638,-23.512643172796977,-24.08931698754201,-24.26128325793737,-24.512966887760644,-18.668445183612043,-22.250850152365597,-24.76341829643295,-24.987852653866277,-25.602425872643163,-26.05562758395452,-27.118089040416557,2,0.46111812663059837,0.5766738147450319,0.1719662703953624,0.2516836298232725,3.582404968753554,0.22443435743332785,0.6145732187768864,1.0624614564620352,1.7943443260171499
131520.94+315921.7,-24.11706033821288,-24.279861352100077,-24.568202053201667,-24.63670925941711,-24.798883202797334,-23.069749782944672,-23.706742383266334,-25.00794603741047,-24.9746518413969,-25.77184945610992,-26.123094399252945,-26.9137848189302,2,0.16280101388719714,0.28834070110158905,0.06850720621544326,0.16217394338022473,0.6369926003216619,-0.03329419601357131,0.7971976147130206,0.7906904196772544,1.4863851398358356
131905.51+193037.3,-24.327773785320066,-24.47952062548948,-24.78979954758492,-24.91231445751235,-25.102129172713948,-21.97323527011319,-24.24013914072181,-25.40961016254344,-25.271606129760432,-25.795015770836415,-26.04444736117435,-26.97126114964251,2,0.15174684016941598,0.3102789220954385,0.1225149099274283,0.18981471520159943,2.266903870608619,-0.13800403278300877,0.5234096410759825,0.9268137884681593,1.1321329036620007
131938.76-004940.0,-24.342625948302054,-24.47751769719428,-24.792651147585246,-24.95835990107551,-25.12901911037469,-23.61241861028488,-23.16986809753361,-25.482288293433804,-25.476814167484925,-25.87448438402353,-25.8213609626944,-26.47943343864128,2,0.1348917488922261,0.31513345039096663,0.16570875349026437,0.17065920929917766,-0.44255051275127144,-0.005474125948879305,0.3976702165386037,0.6580724759468808,0.8630010616188883
